VideoID,Title,Description,Comment,Preprocessed Comment,Sentiment,Polarity Score,Compound Score
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",He chooses money over his legacy  <br>mike tyson 😑 match fixed,chooses money legacy brmike tyson 😑 match fixed,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",just fun to all fans of mike iron tyson.....still you are d best fighter...,fun fan mike iron tysonstill best fighter,Positive,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.886}",0.886
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",The boxing commission needs to investigate 🔬 this fight cause it was a setup.,boxing commission need investigate 🔬 fight cause setup,Negative,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}",-0.3818
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.","It&#39;s not Tyson without the uppercuts. It was a pay off the bills and keep the creditors at bay fight. Jake leads with his jaw. How could Tyson not put him away? It had to be the age thing. Jake&#39;s longer reach isn&#39;t new to Mike. Mike took the beating and took the money. Seriously, I can&#39;t remember Mike throwing any light&#39;s out punches.",it39s tyson without uppercut pay bill keep creditor bay fight jake lead jaw could tyson put away age thing jake39s longer reach isn39t new mike mike took beating took money seriously can39t remember mike throwing light39s punch,Negative,"{'neg': 0.201, 'neu': 0.742, 'pos': 0.057, 'compound': -0.7188}",-0.7188
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Tyson’s and Jake are sell outs rigging fights they should be banned from boxing 🥊 for life.,tyson ’ jake sell out rigging fight banned boxing 🥊 life,Negative,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.6808}",-0.6808
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Tyson still wins 🎉,tyson still win 🎉,Positive,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.5859}",0.5859
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",I am torn. It looked like Tyson was injured in his leg but I don&#39;t know. Jake could have caused it. Everyone wanted Tyson to win to shut Jake down but Jake is young and hungry and Mike is old. Well we&#39;ve had a White undisputed heavyweight champion for 20 years. Everyone might as well get used to it.,torn looked like tyson injured leg don39t know jake could caused everyone wanted tyson win shut jake jake young hungry mike old well we39ve white undisputed heavyweight champion 20 year everyone might well get used,Positive,"{'neg': 0.1, 'neu': 0.594, 'pos': 0.306, 'compound': 0.8658}",0.8658
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",I grew up as Tyson my favorite boxer he attacks. This fight was so rigged. Also I’m finding out late that Jake Paul’s parents and Mike are very close that Jake grew up around Mike and Mike would come over for dinner parties straight up rigged. Mike you let us down and lost me a lot of money.,grew tyson favorite boxer attack fight rigged also ’ finding late jake paul ’ parent mike close jake grew around mike mike would come dinner party straight rigged mike let u lost lot money,Negative,"{'neg': 0.298, 'neu': 0.528, 'pos': 0.174, 'compound': -0.6597}",-0.6597
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Rigged fight I’ll never bet boxing 🥊 again there was a couple times Mike could’ve knocked him out and there waisting time acting dumb.,rigged fight ’ never bet boxing 🥊 couple time mike could ’ knocked waisting time acting dumb,Negative,"{'neg': 0.433, 'neu': 0.567, 'pos': 0.0, 'compound': -0.8126}",-0.8126
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Tayson es unaaquina se dejó ganar e visto videos el entrenando y es una malina,tayson e unaaquina se dejó ganar e visto video el entrenando e una malina,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Que vergüenza miketizon,que vergüenza miketizon,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
