VideoID,Title,Description,Comment,Preprocessed Comment,Sentiment,Polarity Score,Compound Score
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,This is so bad video,bad video,Negative,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,Money can&#39;t buy happiness💵💵💵💵💵,money can39t buy happiness💵💵💵💵💵,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,Money can&#39;t by happiness,money can39t happiness,Positive,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.5574}",0.5574
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,1 value of time<br>2money can&#39;t buy happiness<br>3woman Empowerment<br>4 the importance of hard word<br>5pleasure Of reading <br><br>Thanks my teacher 😊,1 value timebr2money can39t buy happinessbr3woman empowermentbr4 importance hard wordbr5pleasure reading brbrthanks teacher 😊,Positive,"{'neg': 0.092, 'neu': 0.588, 'pos': 0.32, 'compound': 0.5423}",0.5423
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,"<a href=""https://www.youtube.com/watch?v=kmtrAaucH9g"">https://youtu.be/kmtrAaucH9g?si=eVp8wd9DvjGQCFY9</a><br>Money can&#39;t buy happiness 😊",hrefhttpswwwyoutubecomwatchvkmtraauch9ghttpsyoutubekmtraauch9gsievp8wd9dvjgqcfy9abrmoney can39t buy happiness 😊,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}",0.5574
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,"This is my English test not value of time test I can speak in English if you allow me I know Hindi, English,science,maths,punjabi,electronics,MBA,mbc,mbe,<br>Mfc,bba,bca,and bcom so reset your system and then talk to me and improve your system! Thank you!",english test value time test speak english allow know hindi englishsciencemathspunjabielectronicsmbambcmbebrmfcbbabcaand bcom reset system talk improve system thank,Positive,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.8271}",0.8271
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,Women impowerments my fev topic,woman impowerments fev topic,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,Jai shree ram,jai shree ram,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,1-value of time <br>Good topic for speech 💕,1value time brgood topic speech 💕,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
l5jftj5qMgo,Interesting Topics for speech | 5 Topics | English Topics | Speech Or Presentation,Hello there - The video has no voice so do not be panic. - As I have uploaded 5 main interesting topics for your speech or class ...,I had selected important of hard work,selected important hard work,Positive,"{'neg': 0.269, 'neu': 0.385, 'pos': 0.346, 'compound': 0.1027}",0.1027
