VideoID,Title,Description,Comment,Polarity Score,Sentiment
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Memalukan !! Bergelut dengan lansia.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Anyone  2025  !- !!😍.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",That shi must of been scripted 1000000000000000000000000percent,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Sad. It was a circus not a fight.,"{'neg': 0.334, 'neu': 0.431, 'pos': 0.235, 'compound': -0.2302}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Hello there beautiful,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",Positive
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Y&#39;all can say this and that but hey it&#39;s scripted and we are the sheep get it?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",I leave my comment here so that every time someone &quot;likes&quot; I get a notification and it reminds me that I have to come watch to this great FIGHT again,"{'neg': 0.14, 'neu': 0.71, 'pos': 0.15, 'compound': 0.3274}",Positive
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Jake Paul se tornou um verdadeiro lutador na simplicidade de respeito em reconhecer o tayson que foi um monstro do boxe sabendo em poder nocautea lo  meus parabéns merecia 2 prêmios,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Mike Tyson lost to Jake Paul before GTA 6 😂😂😂😂,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Jake can only beat people twice his age 😂,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",i was lucky enough not to wait cuz in my time zone this was happining at 3am... 0 regrets i didnt watch this live,"{'neg': 0.103, 'neu': 0.782, 'pos': 0.115, 'compound': 0.0772}",Positive
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",The fight was a real fake  ‼️‼️‼️‼️‼️,"{'neg': 0.588, 'neu': 0.412, 'pos': 0.0, 'compound': -0.6908}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",I feel like I lost the fight just by watching this,"{'neg': 0.366, 'neu': 0.448, 'pos': 0.187, 'compound': -0.34}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",This flopped worse than Thick of It,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",9 Mio Dollar for what?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",WE NEED MUHAMMAD ALU&#39;S ASH VS JAKE PAUL😂😂😂,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Old,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",JAKE PAUL IS JUST LUCKY. TYSON IS ALREADY OLD..,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",Positive
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.","lol Thank god I didn&#39;t watch this. Lost all respect for Tyson. You can see him pulling up. Either fight or don&#39;t, dude. Would have rather see him lose a real fight than this crap. Knew it was going to be bad but not this bad.","{'neg': 0.285, 'neu': 0.586, 'pos': 0.129, 'compound': -0.8322}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",KEEP  GOING jake 💪 💙 👏 🙌 👍 ❤,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Fake fight,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6908}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",When jake was in liquid form <br>Mike was in uniform 😢,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Como que le ganó ese a Tyson?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Jake paul. I&#39;m a big  fan take.   PAUL<br>YOU  good Like god<br>You are the best  jake. I have seen<br>EVER,"{'neg': 0.0, 'neu': 0.502, 'pos': 0.498, 'compound': 0.8979}",Positive
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Mike Tyson istese bu adam tek yumrukla yıkacak güce sahipti ama yapmadı. Çünkü para ondan daha güçlü,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",keren,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Mike Tyson in prime Jake would be dead…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Pathetic Paul had the advantage of age??? But either way Tyson still the legend and always will be.!.,"{'neg': 0.154, 'neu': 0.774, 'pos': 0.073, 'compound': -0.3983}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",Hmmmm...tyson would have killed him if same/same age,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.6705}",Negative
Aja2KfuoqGA,Jake Paul vs. Mike Tyson FIGHT HIGHLIGHTS 🥊 | ESPN Ringside,"Watch the highlights of Jake Paul's unanimous decision victory over Mike Tyson at AT&T Stadium in Arlington, Texas. Paul vs.",It was really a big disappointment. That&#39;s not a proper boxing match😢😢😢,"{'neg': 0.284, 'neu': 0.716, 'pos': 0.0, 'compound': -0.5542}",Negative
